ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Year,Month,Month Name,Day,Customer_Date
9597,1969,Graduation,Married,73448,0,0,10/2/2014 0:00,10,236,106,189,23,41,130,1,7,2,9,4,2014,10,October,2,10/2/2014
1295,1963,Graduation,Married,,0,1,11/8/2013 0:00,96,231,65,196,38,71,124,1,6,5,7,4,2013,11,November,8,11/8/2013
5342,1976,Basic,Divorced,9548,1,0,8/8/2012 0:00,31,0,1,3,10,6,9,2,1,0,3,8,2012,8,August,8,8/8/2012
9579,1959,PhD,Married,33762,2,1,7/7/2013 0:00,61,53,1,34,2,0,16,3,2,2,2,8,2013,7,July,7,7/7/2013
7987,1969,Graduation,Married,65747,0,1,7/3/2014 0:00,96,346,17,48,23,13,13,4,8,1,6,6,2014,7,July,3,7/3/2014
92,1988,Graduation,Single,34176,1,0,12/5/2014 0:00,12,5,7,24,19,14,20,4,3,0,4,6,2014,12,December,5,12/5/2014
7055,1952,PhD,Married,61010,0,1,9/10/2012 0:00,57,888,0,57,0,0,76,2,8,5,11,5,2012,9,September,10,9/10/2012
3025,1958,Graduation,Single,49967,0,1,8/7/2013 0:00,4,212,6,69,4,12,3,3,6,1,5,7,2013,8,August,7,8/7/2013
9283,1978,Graduation,Single,60199,1,2,12/9/2013 0:00,49,8,1,7,2,0,0,1,0,0,3,4,2013,12,December,9,12/9/2013
2795,1958,Master,Single,30523,2,1,1/7/2013 0:00,0,5,0,3,0,0,5,1,1,0,2,7,2013,1,January,7,1/7/2013
9260,1945,PhD,Married,70356,0,0,5/11/2012 0:00,20,1349,16,249,43,16,33,2,10,6,9,6,2012,5,May,11,5/11/2012
8182,1984,Graduation,Married,23228,1,0,5/1/2014 0:00,91,53,3,49,7,4,5,4,3,0,4,8,2014,5,May,1,5/1/2014
10095,1975,PhD,Divorced,74165,0,0,1/5/2013 0:00,9,1001,12,240,16,12,12,1,5,4,10,2,2013,1,January,5,1/5/2013
8475,1973,PhD,Married,157243,0,1,1/3/2014 0:00,98,20,2,1582,1,2,1,15,0,22,0,0,2014,1,January,3,1/3/2014
6637,1988,Graduation,Single,66951,0,0,2/11/2013 0:00,46,277,162,305,173,76,124,1,3,4,7,1,2013,2,February,11,2/11/2013
641,1967,Graduation,Single,52074,0,1,4/4/2014 0:00,77,59,0,12,0,0,48,1,2,2,2,4,2014,4,April,4,4/4/2014
8717,1975,PhD,Married,80427,0,1,12/9/2012 0:00,56,1149,71,449,69,71,26,1,11,8,8,5,2012,12,December,9,12/9/2012
6935,1951,Second cycle degree,Married,78497,0,0,1/12/2013 0:00,44,207,26,447,75,0,223,1,5,7,12,2,2013,1,January,12,1/12/2013
7698,1976,PhD,Married,51650,0,1,11/5/2014 0:00,81,152,3,22,2,5,7,1,4,1,4,5,2014,11,November,5,11/5/2014
3559,1988,Second cycle degree,Married,16248,1,0,10/5/2014 0:00,77,12,11,10,3,12,9,3,2,1,3,6,2014,10,October,5,10/5/2014
3518,1983,Graduation,Married,25271,1,0,5/12/2012 0:00,45,10,1,18,10,4,7,1,1,1,2,9,2012,5,May,12,5/12/2012
5823,1970,PhD,Single,32303,0,1,8/3/2014 0:00,63,35,0,2,0,0,2,2,1,0,4,5,2014,8,August,3,8/3/2014
3934,1966,Graduation,Married,61286,0,1,2/8/2013 0:00,34,356,0,107,19,9,117,2,7,1,8,5,2013,2,February,8,2/8/2013
9733,1978,Basic,Married,24882,1,0,9/9/2012 0:00,52,1,4,10,29,0,36,1,1,1,2,6,2012,9,September,9,9/9/2012
10424,1968,Graduation,Single,75922,0,0,9/12/2013 0:00,60,265,138,553,224,23,92,1,4,4,9,1,2013,9,September,12,9/12/2013
2798,1977,PhD,Married,102160,0,0,2/11/2012 0:00,54,763,29,138,76,176,58,0,7,9,10,4,2012,2,February,11,2/11/2012
624,1984,Master,Single,18890,0,0,10/11/2012 0:00,5,6,4,1,7,2,15,1,0,1,2,6,2012,10,October,11,10/11/2012
5176,1988,Graduation,Married,29604,1,0,8/12/2013 0:00,88,7,6,13,7,6,14,1,1,0,3,9,2013,8,August,12,8/12/2013
868,1966,Graduation,Married,44794,0,1,8/6/2014 0:00,99,54,0,7,0,0,4,1,2,0,3,6,2014,8,August,6,8/6/2014
380,1954,Graduation,Divorced,64497,0,1,10/9/2012 0:00,17,1170,48,320,42,32,192,5,11,4,9,8,2012,10,October,9,10/9/2012
6927,1968,PhD,Married,44377,1,1,5/10/2012 0:00,70,224,0,30,0,0,10,8,5,1,5,8,2012,5,May,10,5/10/2012
0,1985,Graduation,Married,70951,0,0,4/5/2013 0:00,66,239,10,554,254,87,54,1,3,4,9,1,2013,4,April,5,4/5/2013
1584,1977,Graduation,Married,41443,1,0,1/4/2014 0:00,79,171,7,171,25,19,89,6,8,1,5,8,2014,1,January,4,1/4/2014
7264,1978,Second cycle degree,Single,52195,2,1,12/5/2014 0:00,2,12,0,4,0,0,1,1,1,0,2,8,2014,12,December,5,12/5/2014
1755,1988,Second cycle degree,Married,45204,1,0,11/4/2014 0:00,93,30,11,25,29,1,18,1,1,1,4,3,2014,11,November,4,11/4/2014
9076,1980,PhD,Married,30732,1,0,5/1/2013 0:00,44,155,1,25,0,1,3,4,4,1,4,8,2013,5,May,1,5/1/2013
7079,1962,Graduation,Divorced,63887,0,1,8/9/2012 0:00,38,897,23,207,15,11,92,5,9,6,12,6,2012,8,August,9,8/9/2012
709,1952,Graduation,Divorced,51537,0,1,9/12/2012 0:00,27,787,20,204,0,0,92,3,2,2,11,8,2012,9,September,12,9/12/2012
460,1972,PhD,Married,79930,0,0,8/8/2012 0:00,72,792,86,740,67,51,17,1,3,5,8,2,2012,8,August,8,8/8/2012
5341,1962,Second cycle degree,Divorced,81975,0,1,5/1/2013 0:00,2,983,76,184,180,138,27,1,6,3,4,7,2013,5,May,1,5/1/2013
89,1975,Second cycle degree,Married,22212,1,0,9/12/2013 0:00,49,5,9,20,6,8,21,2,2,0,4,6,2013,9,September,12,9/12/2013
2936,1982,Master,Married,23661,1,0,4/12/2013 0:00,46,18,0,4,0,0,1,1,1,0,3,7,2013,4,April,12,4/12/2013
9449,1958,PhD,Single,79761,0,1,4/10/2013 0:00,32,415,5,124,15,35,11,1,5,2,11,3,2013,4,April,10,4/10/2013
7411,1964,PhD,Married,31686,1,1,5/6/2014 0:00,31,11,0,5,0,0,1,2,1,0,3,6,2014,5,May,6,5/6/2014
9265,1953,Graduation,Married,75027,0,1,9/1/2013 0:00,74,925,64,179,133,12,77,2,9,4,6,5,2013,9,September,1,9/1/2013
10089,1974,Graduation,Divorced,102692,0,0,5/4/2013 0:00,5,168,148,444,32,172,148,1,6,9,13,2,2013,5,May,4,5/4/2013
2661,1964,Graduation,Single,18701,1,1,4/6/2013 0:00,95,12,4,2,10,6,10,4,2,0,4,5,2013,4,April,6,4/6/2013
3153,1957,PhD,Single,40737,2,1,8/12/2013 0:00,24,11,0,4,0,0,2,1,1,0,2,8,2013,8,August,12,8/12/2013
10264,1979,Graduation,Divorced,15287,1,0,10/10/2012 0:00,60,1,2,8,4,3,13,2,1,1,2,7,2012,10,October,10,10/10/2012
2387,1952,Master,Married,43776,1,1,3/2/2013 0:00,9,177,2,71,3,2,20,6,5,2,4,8,2013,3,March,2,3/2/2013
4557,1970,Graduation,Married,22070,1,0,4/10/2013 0:00,11,10,7,19,8,2,21,2,2,2,2,6,2013,4,April,10,4/10/2013
3066,1975,PhD,Married,61905,0,1,4/2/2014 0:00,2,167,0,43,6,2,13,2,4,2,4,5,2014,4,April,2,4/2/2014
6336,1960,Graduation,Married,29315,1,1,6/4/2014 0:00,55,13,2,14,8,7,4,4,2,0,4,6,2014,6,June,4,6/4/2014
10967,1963,Graduation,Divorced,33378,1,1,6/2/2013 0:00,38,33,6,40,3,7,10,3,2,0,4,7,2013,6,June,2,6/2/2013
3762,1986,PhD,Single,69867,0,0,2/4/2013 0:00,30,196,0,512,33,130,54,1,3,5,8,1,2013,2,February,4,2/4/2013
4669,1981,Basic,Married,24480,1,0,11/2/2013 0:00,46,4,19,9,28,25,17,3,3,0,4,7,2013,11,November,2,11/2/2013
1672,1974,PhD,Married,65640,0,1,1/3/2014 0:00,74,204,7,149,20,15,66,1,5,1,8,2,2014,1,January,3,1/3/2014
9974,1974,Graduation,Married,30631,1,0,12/7/2013 0:00,75,15,6,20,4,5,20,1,3,1,2,7,2013,12,December,7,12/7/2013
8148,1956,Master,Married,50898,1,1,8/1/2013 0:00,88,285,28,242,55,114,135,13,6,2,12,5,2013,8,August,1,8/1/2013
10102,1966,Graduation,Widow,79946,0,0,12/5/2014 0:00,19,395,183,565,166,141,28,1,5,11,5,3,2014,12,December,5,12/5/2014
9262,1984,Second cycle degree,Married,32414,0,0,4/7/2013 0:00,11,20,6,5,0,9,12,1,1,0,3,7,2013,4,April,7,4/7/2013
10451,1965,Graduation,Married,29672,1,1,12/3/2013 0:00,6,9,1,3,0,4,8,1,0,0,3,6,2013,12,December,3,12/3/2013
2874,1988,Second cycle degree,Divorced,35388,1,0,7/3/2013 0:00,20,6,4,7,4,3,8,1,1,0,3,7,2013,7,July,3,7/3/2013
7119,1982,Graduation,Single,68627,0,0,12/1/2013 0:00,45,395,15,263,60,54,38,1,2,3,6,1,2013,12,December,1,12/1/2013
5596,1956,Second cycle degree,Married,58821,0,1,12/10/2013 0:00,44,513,14,154,19,0,28,1,9,2,9,6,2013,12,December,10,12/10/2013
10812,1978,PhD,Married,46377,1,0,1/3/2014 0:00,89,37,0,46,4,3,0,1,2,1,3,4,2014,1,January,3,1/3/2014
6963,1947,Graduation,Single,77457,0,0,5/3/2014 0:00,85,675,11,400,15,45,11,1,2,5,10,1,2014,5,May,3,5/3/2014
4440,1964,Master,Married,64100,0,1,10/9/2013 0:00,93,509,0,27,0,0,10,1,8,3,6,7,2013,10,October,9,10/9/2013
2437,1989,Graduation,Married,,0,0,3/6/2013 0:00,69,861,138,461,60,30,61,1,6,5,12,3,2013,3,March,6,3/6/2013
6320,1976,Master,Single,70893,0,0,6/2/2013 0:00,42,768,44,561,77,44,14,1,6,6,10,3,2013,6,June,2,6/2/2013
231,1956,Master,Married,28839,1,1,11/3/2014 0:00,86,24,0,7,0,0,1,2,2,0,3,5,2014,11,November,3,11/3/2014
520,1974,Graduation,Married,34421,1,0,1/7/2013 0:00,81,3,3,7,6,2,9,1,1,0,2,7,2013,1,January,7,1/7/2013
8275,1965,PhD,Divorced,47025,1,1,9/2/2014 0:00,6,16,0,3,0,0,1,1,1,0,2,7,2014,9,September,2,9/2/2014
9750,1961,PhD,Divorced,64325,0,1,7/2/2013 0:00,41,731,60,353,78,12,73,5,10,3,5,7,2013,7,July,2,7/2/2013
2607,1953,Graduation,Single,40464,0,1,11/1/2013 0:00,78,424,17,118,7,23,41,6,8,2,8,8,2013,11,November,1,11/1/2013
7214,1957,Graduation,Married,62187,0,0,5/7/2013 0:00,49,792,0,275,45,45,126,1,4,8,5,3,2013,5,May,7,5/7/2013
5835,1976,PhD,Divorced,14849,1,0,2/7/2013 0:00,39,21,2,28,3,2,9,3,2,0,4,8,2013,2,February,7,2/7/2013
3896,1984,Graduation,Married,27255,1,0,7/11/2013 0:00,3,22,1,11,0,1,2,1,1,0,3,7,2013,7,July,11,7/11/2013
10350,1950,PhD,Married,54432,2,1,9/5/2013 0:00,37,33,0,5,0,0,0,1,1,0,3,4,2013,9,September,5,9/5/2013
663,1989,PhD,Single,33996,0,0,11/9/2013 0:00,46,40,2,15,8,0,6,1,1,1,3,4,2013,11,November,9,11/9/2013
10675,1956,PhD,Married,66334,0,1,3/4/2013 0:00,82,909,11,218,0,0,23,2,9,3,5,5,2013,3,March,4,3/4/2013
2521,1971,Master,Married,35178,1,0,10/1/2013 0:00,10,23,1,13,2,2,18,1,1,1,2,7,2013,10,October,1,10/1/2013
10151,1960,Graduation,Divorced,62204,0,2,12/9/2012 0:00,38,317,46,247,151,46,139,1,4,5,12,3,2012,12,December,9,12/9/2012
7381,1968,Graduation,Divorced,75693,0,0,6/12/2012 0:00,10,797,153,293,72,97,30,1,11,4,6,4,2012,6,June,12,6/12/2012
4099,1972,Graduation,Married,30675,1,0,12/11/2012 0:00,14,10,2,16,11,2,21,1,1,0,3,8,2012,12,December,11,12/11/2012
9560,1965,Graduation,Married,83003,0,0,3/3/2013 0:00,18,856,61,570,40,25,122,1,7,6,8,3,2013,3,March,3,3/3/2013
10172,1988,Graduation,Single,68655,0,0,10/8/2012 0:00,95,456,19,832,75,118,38,1,4,5,11,3,2012,10,October,8,10/8/2012
11191,1986,Graduation,Divorced,41411,0,0,7/12/2013 0:00,11,37,32,38,11,3,18,1,2,1,4,6,2013,7,July,12,7/12/2013
1411,1952,Graduation,Divorced,82623,0,0,10/11/2013 0:00,58,204,34,204,172,153,173,1,2,9,4,1,2013,10,October,11,10/11/2013
11030,1976,Master,Married,33181,1,0,3/1/2014 0:00,90,9,0,3,0,0,4,1,1,0,2,6,2014,3,March,1,3/1/2014
175,1986,Graduation,Married,71952,1,0,10/1/2013 0:00,93,656,80,455,52,107,93,2,8,4,8,4,2013,10,October,1,10/1/2013
2061,1955,Graduation,Married,50737,0,1,11/5/2013 0:00,61,78,0,11,0,0,10,1,2,0,4,6,2013,11,November,5,11/5/2013
6184,1969,PhD,Married,68462,0,0,12/12/2012 0:00,6,561,64,785,84,128,48,1,3,3,8,1,2012,12,December,12,12/12/2012
4107,1948,PhD,Married,46681,0,2,8/10/2013 0:00,52,269,15,69,15,19,38,2,4,6,4,5,2013,8,August,10,8/10/2013
2928,1975,PhD,Single,52614,0,1,1/12/2012 0:00,63,789,0,142,12,9,38,2,2,4,8,8,2012,1,January,12,1/12/2012
1245,1966,Graduation,Single,63810,0,1,11/11/2012 0:00,45,977,12,253,16,12,101,4,4,3,12,8,2012,11,November,11,11/11/2012
1729,1961,PhD,Married,66426,0,1,2/10/2013 0:00,14,1043,24,97,32,24,157,2,3,5,10,6,2013,2,February,10,2/10/2013
2098,1969,PhD,Married,33581,2,0,8/1/2013 0:00,38,11,0,5,0,0,1,1,1,0,2,8,2013,8,August,1,8/1/2013
6878,1954,Graduation,Widow,27421,0,0,12/12/2012 0:00,14,43,12,96,78,40,55,3,4,1,6,7,2012,12,December,12,12/12/2012
6202,1960,Graduation,Married,63381,0,1,5/10/2012 0:00,78,571,50,142,33,50,159,4,4,5,13,2,2012,5,May,10,5/10/2012
9799,1968,PhD,Divorced,83664,1,1,8/5/2013 0:00,57,866,21,151,28,21,86,3,2,2,12,5,2013,8,August,5,8/5/2013
8318,1979,Graduation,Married,90300,0,0,3/1/2014 0:00,7,594,134,786,33,134,57,0,5,6,8,1,2014,3,March,1,3/1/2014
5642,1979,Master,Married,62499,1,0,9/12/2013 0:00,0,140,4,61,0,13,4,2,3,1,6,4,2013,9,September,12,9/12/2013
2669,1993,Graduation,Single,74293,0,0,4/5/2014 0:00,66,375,152,335,93,91,81,1,5,4,6,2,2014,4,April,5,4/5/2014
3428,1991,PhD,Married,68682,0,0,6/10/2013 0:00,56,919,0,505,99,30,45,1,4,9,10,2,2013,6,June,10,6/10/2013
8213,1980,Second cycle degree,Married,14515,1,0,9/11/2012 0:00,71,6,4,9,6,36,35,4,2,2,3,7,2012,9,September,11,9/11/2012
615,1960,Graduation,Married,30507,0,0,11/3/2013 0:00,29,65,36,74,38,20,110,1,5,1,4,7,2013,11,November,3,11/3/2013
194,1965,Graduation,Married,48006,1,1,9/6/2014 0:00,55,23,0,11,3,2,2,1,1,0,3,6,2014,9,September,6,9/6/2014
5049,1974,PhD,Married,30351,1,0,6/6/2013 0:00,19,14,0,24,3,3,2,1,3,0,2,9,2013,6,June,6,6/6/2013
10882,1976,Graduation,Married,53858,0,1,9/11/2012 0:00,50,407,53,221,58,150,26,4,4,3,6,4,2012,9,September,11,9/11/2012
8581,1971,Master,Married,49505,1,1,5/3/2013 0:00,4,604,0,100,19,0,28,9,10,2,8,8,2013,5,May,3,5/3/2013
5929,1973,PhD,Married,37401,1,0,6/5/2014 0:00,14,19,3,19,3,1,3,2,2,0,3,7,2014,6,June,5,6/5/2014
6528,1982,Master,Married,18492,1,0,5/6/2014 0:00,75,2,2,2,2,1,1,1,1,0,2,8,2014,5,May,6,5/6/2014
1361,1974,Master,Married,82584,0,0,4/6/2013 0:00,26,1076,68,103,29,91,68,1,3,4,8,1,2013,4,April,6,4/6/2013
7284,1953,Graduation,Married,48686,1,2,4/12/2013 0:00,8,10,0,7,2,0,1,1,1,0,2,8,2013,4,April,12,4/12/2013
8746,1989,Graduation,Married,75433,1,0,5/4/2014 0:00,28,800,0,297,0,34,57,2,2,5,10,6,2014,5,May,4,5/4/2014
5987,1989,Second cycle degree,Married,10404,1,0,4/5/2014 0:00,52,2,2,11,10,6,12,2,1,0,4,5,2014,4,April,5,4/5/2014
3725,1961,PhD,Single,84865,0,0,9/5/2013 0:00,1,1248,16,349,43,16,16,1,2,4,9,4,2013,9,September,5,9/5/2013
498,1970,Graduation,Single,30015,1,0,2/2/2014 0:00,28,25,0,22,2,3,5,2,1,0,4,5,2014,2,February,2,2/2/2014
10664,1949,Master,Widow,51529,0,1,7/9/2013 0:00,14,400,4,35,6,0,22,2,9,1,5,8,2013,7,July,9,7/9/2013
456,1986,Second cycle degree,Married,7500,1,0,7/2/2013 0:00,96,1,11,5,4,6,9,2,2,0,3,8,2013,7,July,2,7/2/2013
5012,1989,Graduation,Married,28691,1,0,4/7/2013 0:00,56,5,4,13,8,0,4,1,1,0,3,8,2013,4,April,7,4/7/2013
5029,1946,Graduation,Married,18100,0,0,6/8/2013 0:00,14,3,1,2,4,3,1,1,0,0,3,5,2013,6,June,8,6/8/2013
5954,1972,Master,Divorced,42618,1,0,9/10/2013 0:00,92,76,14,74,13,5,10,2,5,0,4,8,2013,9,September,10,9/10/2013
2541,1976,Graduation,Married,24027,1,0,9/6/2013 0:00,7,14,7,11,11,0,5,2,2,0,3,8,2013,9,September,6,9/6/2013
2276,1955,Graduation,Single,57959,0,1,2/5/2013 0:00,71,430,16,322,43,24,33,5,4,7,11,3,2013,2,February,5,2/5/2013
6131,1980,Second cycle degree,Married,70829,1,1,1/12/2013 0:00,87,141,70,106,72,19,23,2,4,2,8,3,2013,1,January,12,1/12/2013
